layout;patrimonio;produto;origem;data_processamento
pat_id;12345;Camera VHD;Entrada Sequencial;13/05/2026 00:12:50
pat_id;12346;Camera VHD;Entrada Sequencial;13/05/2026 00:12:50
pat_id;12347;Camera VHD;Entrada Sequencial;13/05/2026 00:12:50
pat_id;12348;Camera VHD;Entrada Sequencial;13/05/2026 00:12:50
pat_id;12349;Camera VHD;Entrada Sequencial;13/05/2026 00:12:50
pat_id;12350;Camera VHD;Entrada Sequencial;13/05/2026 00:12:50
pat_id;12351;Camera VHD;Entrada Sequencial;13/05/2026 00:12:50
pat_id;12352;Camera VHD;Entrada Sequencial;13/05/2026 00:12:50
pat_id;12353;Camera VHD;Entrada Sequencial;13/05/2026 00:12:50
pat_id;12354;Camera VHD;Entrada Sequencial;13/05/2026 00:12:50
pat_id;12355;Camera VHD;Entrada Sequencial;13/05/2026 00:12:50
pat_id;12356;Camera VHD;Entrada Sequencial;13/05/2026 00:12:50
